Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,13C
102,157.0142256422259,157.0142256422259,157.01424675905352,1351.413508531919,-1.1873594400797804,211156.64645796837,66.86672492408664,-1,0.1344898825860835,0.9043975301175187,0.0,0.5426385180705112,4.0,1.0,0.8333333333333334,O5,de-protonated,0,,C6 H6 O5,6,6,5,
103,157.05060948329438,157.05060948329438,157.05063226843782,1212.107856135426,-5.1576933748738965,211132.14650109704,59.97400653673989,-1,0.14508151361129523,0.8896413100081042,0.0,0.5337847860048625,3.0,1.4285714285714286,0.5714285714285714,O4,de-protonated,0,,C7 H10 O4,7,10,4,
104,157.0869915738761,157.0869915738761,157.0870177778221,1679.3394767757488,-1.3555937821058648,211108.0215088033,83.09220689210785,-1,0.16681165868004355,0.7757735374228985,0.9935835808941079,0.8628975548113822,2.0,1.75,0.375,O3,de-protonated,0,,C8 H14 O3,8,14,3,
106,158.09033213783403,158.09033213783403,158.0903726128944,133.73332908604158,-0.1094926254510569,210437.0218580962,6.617004841762308,-1,0.2560248275639357,0.6947803594457441,0.9935835808941079,0.8143016480250896,2.0,2.0,0.42857142857142855,13C1 O3,de-protonated,1,104,C7 H14 O3 13C1,7,14,3,1
105,157.12336556102136,157.12336556102136,157.1234032872064,1035.5400616716818,-0.8238293833983812,211083.27151872808,51.237590873938345,-1,0.2401054473900368,0.725944832879991,0.0,0.4355668997279946,1.0,2.0,0.2222222222222222,O2,de-protonated,0,,C9 H18 O2,9,18,2,
107,159.02986076872872,159.02986076872872,159.02989682353152,1635.424417300105,-1.3347753901490638,209814.52214088975,80.91932924700221,-1,0.22671713628381096,0.7515938292848451,0.0,0.45095629757090705,3.0,1.3333333333333333,0.8333333333333334,O5,de-protonated,0,,C6 H8 O5,6,8,5,
108,159.06621479004966,159.06621479004966,159.06628233291582,1443.02886244066,-1.1849577341791142,209790.52215524914,71.39977023550543,-1,0.42462088867407827,0.36726090424019125,0.0,0.22035654254411474,2.0,1.7142857142857142,0.5714285714285714,O4,de-protonated,0,,C7 H12 O4,7,12,4,
109,159.10259586609993,159.10259586609993,159.10266784230012,381.08468140208294,-0.3118096838695408,209766.52217446335,18.855727283485578,-1,0.4523883927617404,0.3207883705560248,0.0,0.19247302233361488,1.0,2.0,0.375,O3,de-protonated,0,,C8 H16 O3,8,16,3,
111,161.04548535046348,161.04548535046348,161.0455468880095,828.5566833294067,-0.6840978875604471,166797.7682477314,40.99623947698051,-1,0.3821126831536959,0.4443391144387944,0.0,0.26660346866327667,2.0,1.6666666666666667,0.8333333333333334,O5,de-protonated,0,,C6 H10 O5,6,10,5,
112,161.0818632141761,161.0818632141761,161.0819323973938,169.0864609797822,-0.1393244320462113,208473.52282378243,8.366246010819243,-1,0.4294908601749149,0.3588714238754461,0.0,0.21532285432526768,1.0,2.0,0.5714285714285714,O4,de-protonated,0,,C7 H14 O4,7,14,4,
116,165.01923903929648,165.01923903929648,165.0193321394818,1509.5660743416895,-1.438560673087966,205971.3990899284,74.69197163597464,-1,0.564177445863792,0.08531036243978067,0.9198229858128334,0.4191154117890018,6.0,0.75,0.5,O4,de-protonated,0,,C8 H6 O4,8,6,4,
117,165.05559891412057,165.05559891412057,165.0557176488661,137.74339582579734,-0.11518815253531742,205949.0240988227,6.815419337341656,-1,0.7193616024496186,0.0564220587828653,0.0,0.03385323526971918,5.0,1.1111111111111112,0.3333333333333333,O3,de-protonated,0,,C9 H10 O3,9,10,3,
